season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
16_season,Watford,Sunderland,1,0,H,L Probert,12,8,1,3,0,0
16_season,Arsenal,Man City,2,2,D,A Marriner,8,15,3,2,0,0
16_season,Swansea,Middlesbrough,0,0,D,R Madley,9,16,2,3,0,0
16_season,Burnley,Stoke,1,0,H,K Friend,9,16,3,2,0,0
16_season,Leicester,Sunderland,2,0,H,G Scott,12,13,0,1,0,0
16_season,Man United,Everton,1,1,D,N Swarbrick,10,18,1,4,0,1
16_season,Watford,West Brom,2,0,H,P Tierney,11,14,1,4,1,0
16_season,Arsenal,West Ham,3,0,H,M Atkinson,11,5,2,2,0,0
16_season,Chelsea,Man City,2,1,H,M Dean,10,14,1,3,0,0
16_season,Hull,Middlesbrough,4,2,H,M Oliver,13,12,2,1,0,0
16_season,Liverpool,Bournemouth,2,2,D,L Mason,11,8,1,1,0,0
16_season,Southampton,Crystal Palace,3,1,H,R East,16,11,2,1,0,0
16_season,Swansea,Tottenham,1,3,A,J Moss,7,8,1,1,0,0
16_season,Bournemouth,Chelsea,1,3,A,A Marriner,7,11,2,3,0,0
16_season,Man City,Hull,3,1,H,J Moss,6,8,0,2,0,0
16_season,Middlesbrough,Burnley,0,0,D,M Atkinson,9,12,0,3,0,0
16_season,Stoke,Liverpool,1,2,A,M Dean,7,11,0,2,0,0
16_season,Tottenham,Watford,4,0,H,A Taylor,12,12,0,1,0,0
16_season,West Brom,Southampton,0,1,A,C Kavanagh,12,12,2,2,0,0
16_season,West Ham,Swansea,1,0,H,K Friend,12,12,5,1,0,0
16_season,Everton,Leicester,4,2,H,R Madley,8,15,2,2,0,0
16_season,Sunderland,Man United,0,3,A,C Pawson,14,20,1,5,1,0
16_season,Crystal Palace,Arsenal,3,0,H,M Oliver,11,10,0,1,0,0
16_season,Crystal Palace,Leicester,2,2,D,M Dean,10,16,0,2,0,0
16_season,Everton,Burnley,3,1,H,M Clattenburg,15,14,2,0,0,0
16_season,Southampton,Man City,0,3,A,N Swarbrick,9,8,3,0,0,0
16_season,Stoke,Hull,3,1,H,S Attwell,12,5,0,2,0,0
16_season,Sunderland,West Ham,2,2,D,A Marriner,14,10,1,0,0,1
16_season,Tottenham,Bournemouth,4,0,H,M Oliver,8,10,0,1,0,0
16_season,Watford,Swansea,1,0,H,L Mason,8,13,0,0,0,0
16_season,Man United,Chelsea,2,0,H,R Madley,16,20,3,3,0,0
16_season,West Brom,Liverpool,0,1,A,J Moss,15,9,3,1,0,0
16_season,Middlesbrough,Arsenal,1,2,A,A Taylor,11,16,2,2,0,0
16_season,Bournemouth,Middlesbrough,4,0,H,G Scott,4,14,0,2,0,1
16_season,Hull,Watford,2,0,H,R Madley,10,11,3,1,1,0
16_season,Swansea,Stoke,2,0,H,M Oliver,5,14,2,2,0,0
16_season,West Ham,Everton,0,0,D,R East,9,15,2,3,0,0
16_season,Burnley,Man United,0,2,A,A Taylor,17,16,2,1,0,0
16_season,Liverpool,Crystal Palace,1,2,A,A Marriner,8,10,1,2,0,0
16_season,Chelsea,Southampton,4,2,H,L Mason,13,9,2,2,0,0
16_season,Arsenal,Leicester,1,0,H,M Jones,9,13,2,4,0,0
16_season,Crystal Palace,Tottenham,0,1,A,J Moss,13,15,3,3,0,0
16_season,Middlesbrough,Sunderland,1,0,H,M Dean,15,11,3,3,0,0
16_season,Man City,Man United,0,0,D,M Atkinson,10,8,1,0,0,1
16_season,Crystal Palace,Burnley,0,2,A,R Madley,11,12,2,0,0,0
16_season,Southampton,Hull,0,0,D,M Dean,9,13,0,3,0,0
